Comment,Likes,Author,Author URL,Published At
중국이라고?<br>순교 하교싶은가보제 개죽음당하고 싶은가보네<br>중국에 말씀이 없어서 그러나<br>당신이 가면 그사람들  물과 성령으로 거듭나게 할수 있는거냐 ?<br>비웃는게 아니고 비웃는다 소경아,1,김제이-t8z,http://www.youtube.com/@%EA%B9%80%EC%A0%9C%EC%9D%B4-t8z,2021-02-10T07:58:53Z
목사님. 2탄 너무 재미있어요. 귀여우신 목사님. 은혜의  사투리가 자꾸 떠올라요. ^^ 건강하세요 목사님♡<br>2024년 12월에 다시 봅니다.,1,초코-c7u,http://www.youtube.com/@%EC%B4%88%EC%BD%94-c7u,2024-12-10T03:35:36Z
감사 감사  합니다^^~~~~<br>은혜로운  주님의 섭리  다시 일깨워 주심에    감사 드리며  주님께  영광 입니다^^~~~,1,김종선-t4j,http://www.youtube.com/@%EA%B9%80%EC%A2%85%EC%84%A0-t4j,2021-03-22T16:13:03Z
Cbs는 회개하시길,1,김주경-v9d,http://www.youtube.com/@%EA%B9%80%EC%A3%BC%EA%B2%BD-v9d,2021-02-12T14:53:12Z
와우  목사님  임마누엘  할렐루야  귀한간증에  회계가나옵니다  감사합니다  ~,1,만철김-d4d,http://www.youtube.com/@%EB%A7%8C%EC%B2%A0%EA%B9%80-d4d,2024-02-29T05:10:49Z
네 너무 솔직하고 그 마음이 내 마음과 다를게 하나도 없어서 목사님자리에서 하신 그 고백이 너무 용기가 됩니다.,1,벤놀이가자,http://www.youtube.com/@%EB%B2%A4%EB%86%80%EC%9D%B4%EA%B0%80%EC%9E%90,2023-12-09T06:32:08Z
하나님의살아계심을 당연히 믿고 사랑합니다,1,TV-fb4tz,http://www.youtube.com/@TV-fb4tz,2021-03-27T02:35:26Z
저만 그런가요.. <br>목사님의 간증도 너무 꿀송이같지만.. <br>그 꿀송이를 한마디라도 놓치지 않고 잘 받아 먹으려는 여니엘씨의 초집중하신 모습 언제나 너무 귀엽고 사랑스러우셔요💗,1,user-sy6fh4zr8r,http://www.youtube.com/@user-sy6fh4zr8r,2021-03-27T05:13:40Z
감사합니다~ 영화보다 더 영화같은 진한 간증 1 2부 감동이었습니다 마지막 감사해 하시는 목사님이 너무 아름답습니다~~,1,conscience7094,http://www.youtube.com/@conscience7094,2021-03-27T11:01:13Z
우리딸이 중국에 사는데요 크리스찬이예요 그가 가정집에서 애기 피아노련습하는것 도와주는 일을 하고있었는데요 그 집에서 월급을 떼먹었데요 돈 때문에갔다가 돈도 못받고 너무 무거운 맘으로 집으로 오는 길에 엘리베이터 탔는데  비교적 큰돈 한장이 거기에 놓여있더래요 자기가 슬퍼하니까 주님께서 위로해주시느라고 주신것 아닌가하고 생각하면서 돈은 못 받았지만 그 사람들을 원망하지 않겠다네요 어디서나 하나님의 손길을 느껴진다네요 위 간증 읽는데 맘이 울컥하면서 딸님이 한 말이 생각나서 적어봅니다 하나님은 위로의 하나님 이십니다 저두 수많은 역경을 겪었는데요 그런 가운데서 하나님께서 찾아오셔서 만나주셨어요 사랑의 하나님을 만나는 그 순간 내맘속에서 천국이 이루어졌어요 그 크나큰 사랑은 말로 표현이 안되요 모든 찬양들이 다 제 간증같고 제찬양이 되더라구요 살아계신 하나님을 만나면 우리 심령이 변화됩니다 소망이 하늘로 향합니다 이세상 그 무엇으로도 바꿀수없는 기쁨과 평강이 임합니다 모든 죄들  사함을 받습니다 무거운짐들이 다 사라집니다 살아계신 주님을 만나서 천국의 기쁨을 누리세요 ~~^^,1,유정현-l9z,http://www.youtube.com/@%EC%9C%A0%EC%A0%95%ED%98%84-l9z,2020-12-31T08:14:59Z
"목사님,저는 요즘 13살 저희아들이  많이 힘겨워서 마음이 힘들고 때로는 무너질때가 있었습니다.<br>그런데 목사님께서 말씀하신 &quot;예수님께서 사명이 아닌 사랑으로 십자가를 지셨다&quot;는 말씀을 듣고 제가 엄마의 사랑이 아닌 엄마의 사명으로 아들을 대한것이 깨달아졌습니다.<br>앞으로는 정말 사명이아닌 엄마의 사랑으로 저희 아들에게 남편과 엄마,가족들에게 이웃에게 다가가도록 힘쓰겠습니다.<br>주님 도와주시옵소서.<br>모든 믿음의 가정들이 깨어나길 소망합니다.<br>목사님 감사드리고 축복합니다.",1,jeeyeunjung982,http://www.youtube.com/@jeeyeunjung982,2020-12-31T18:17:07Z
감사합니다,1,봉봉-o1s,http://www.youtube.com/@%EB%B4%89%EB%B4%89-o1s,2020-12-26T15:52:43Z
*&quot;말씀증거와 성령의 은혜로 영혼구원에 힘쓰신다&quot;<br>*&quot;사명감에서 사랑으로&quot;<br>*&quot;아들의 영성으로&quot;<br>*&quot;자녀교육은 하나님의 기준대로&quot;,1,shinseogseo5240,http://www.youtube.com/@shinseogseo5240,2021-03-01T22:32:36Z
사투리가 구수하시네요 ㅋㅋㅋ,1,원정민-v4d,http://www.youtube.com/@%EC%9B%90%EC%A0%95%EB%AF%BC-v4d,2021-01-05T02:12:42Z
"주여, 성령의 은사와 능력을 이땅에 허락허여주셔서 믿지 않고 대적하는 마귀를 물리쳐주소서.",1,gumsanyun8820,http://www.youtube.com/@gumsanyun8820,2021-01-06T06:04:39Z
레전드편인거 같습니다 큰 용기와 희망주신 목사님께 감사합니다,1,refreshsero,http://www.youtube.com/@refreshsero,2021-01-04T17:46:43Z
윤치영목사님 지지합니다  그하나님은혜 감사 합니다 늘 힘내세요  사역이 넘 스릴 있으십니다  할렐루야,1,강령비,http://www.youtube.com/@%EA%B0%95%EB%A0%B9%EB%B9%84,2021-01-06T06:07:41Z
하나님앞에 무릎 꿇게 하여주소서.,1,gumsanyun8820,http://www.youtube.com/@gumsanyun8820,2021-01-06T06:08:06Z
목사님 너무깨끗하고 본받고싶은분이네요 <br><br>감사합니다,1,유진-b4d8k,http://www.youtube.com/@%EC%9C%A0%EC%A7%84-b4d8k,2021-01-04T14:59:14Z
하나님의 일꾼으로 열심히 일하는 와중에 부족한 것이 있으면 공급해주시는 하나님에 대한 믿음이 더욱 견고하게 하는 그런 영상인 것 같아요. 정말 감사합니다!,1,juny1226,http://www.youtube.com/@juny1226,2021-01-07T18:21:40Z
대박이네요 그냥...,1,ima443,http://www.youtube.com/@ima443,2021-01-08T03:47:52Z
새롭게 하소서 애정합니다 ^^,1,신앙을위한3분투자,http://www.youtube.com/@%EC%8B%A0%EC%95%99%EC%9D%84%EC%9C%84%ED%95%9C3%EB%B6%84%ED%88%AC%EC%9E%90,2021-01-09T01:33:55Z
"하나님은 내가 간절히 기도하다가 .....일상에 치여서 잊고있을때도 하나님은 나를 바라봐주시고 ...내기도를 들어주셨어요...<br>저는 사람에대한 두려움과 불신이 많이컸어요....부모님도 친구도 아무도 저를 일으켜세우질 못했는데 9살 고양이가 저의 원동력이 되어버렸어요 1년을 정말 많이 사랑했고<br>별이가 8살 가을때 만나  9살 19년12월에 떠나갔으니....<br>별이를 통해서 잊고있었던 어린시절의 순수함 활동력 두려움이 없었던 그 시절을 느꼈어요...<br>말도 안돼고 무슨 헛소리냐고  하겠지만 정말 그랬어요 <br>그런 1년을 사랑한 고양이가 갑자기 3일만에 심장병 진단받고 떠났어요<br>그렇게 떠나고 소리를 미친듯이 지르면서 울었던거 같아요<br>울다 지치고 ...또 울다 지치고 먹을거를 진짜 좋아하는데 먹어도 아무맛이 안나고 <br>저는 세상에 고아가 된 기분이였어요  그런데 죽은 별이를 끄러안고 성경 찬송을 틀어주고<br>할수있는게 해줄수있는게 기도밖에 없었어요  ...마지막 인사도 못하고 병원에서 작은 산소방에서 널 보내고......어떻게 죽어갔는지도모르고<br>피폐했고...목표와 방향을 잃었고 직업도 없었어요 .. 울면서도 어쩌다가 일을 다니게 되었고..울면서 하루하루 보내고 직장에서의 스트레스로 정신이 없었고 집에오면 몸이 축 쳐져서 파김치가 되서 ....잠들고  그랬던거같아요...... 그러다가 우연히 주말에 사진함 폴더를 정리하다가 병원에서 아팠던 별이사진을보고 또다시 정신이 나갈것처럼 미친듯이 울고 <br>발을 동동 굴러도  그 슬픔이 내몸에서 떨어져 나가질않았어요...<br>그러다가 기도하고 별이한테도 중얼중얼 허공에다가 이야기를했어요<br>나는 너를 보낼때 마지막인사도 못했어....제발 내꿈에 나타나서 마지막 인사라도 하게해달라고<br>울면서 별이한테 이야기하면서도 울부짖으면서 기도했어요 ....<br>무슨 고양이한테 빠져서 이러냐고 그러겠지만...세상살다보니까...<br>내 감정은 어쩌다가 사람한테는 너무 힘들었어요...그런데 사람도 아닌 별이가 제맘을 그렇게 들어와서 ...저를 웃게해주었었거든요...<br>그날도 너무힘든데 일이 늦게끝났고  봉급은 쥐꼬리에.... 그래도 직장다니니까 밥은 해결되고 <br>의료보험도 해결되고....어쨌든 늦게끝난날 그날 저녁에 갈비를 먹었어요 고기집에서......그렇게 잘 먹고  늦게 집에오는바람에 피곤해서 그냥 잠들었어요..........<br><br>그러고 잠이들었는데<br>꿈속에서 제가 어떤 건물앞에 있고 ....앞에는 잔디밭.... 나무들이 보였어요<br>밝지도않고 새벽같은......그런느낌<br>그런데 제가 그곳에 갈수가 없었어요...저는 한발자국도 못움직이고 바라보고있었어요<br>그런데 갑자기 남자와 여자가 고양이들에게 나무밑에서 밥을주고있었고<br>저멀리서 별이가 그들 무리속에 합류했어요..<br><br>나는 속으로 별이는 나를 알아볼꺼야 그리고 나한테 올꺼야....<br>그리고 기다렸는데.....별이가 저에게 왔어요<br>근데 저한테 안기고 머 그런거 없었어요<br>그냥 내앞에 왔고 덤덤한 표정으로 아무말도 안했지만<br>마음속으로 얘가 말하는게 닿았어요<br>나에게 주세요...내것을 주세요.....이런말이였고<br><br>순간 저는 당황해서 니것? 별이꺼??<br>그러다가 유골함 (화장할때....담아두었던 상자)같은 나무 케이스 같은게 있었어요<br>그걸 별이한테 건내기전에...<br>아 맞아 내물건이 있을수도있는데  한번확인하고 별이것만줘야지.,.,...<br>하고 상자를 열었는데..별이의 유골(스톤)  십자가가 있었어요<br>십자가 펜던트가 맞겠네요<br><br>아 이 십자가는 내꺼잖아....이것만 빼고 별이주면되겠다 하고<br>십자가를 빼고 뚜껑을 닫으려는데...<br><br>아...별이는 죽었지....그래....이건 나보다 별이가 갖고있는게 맞아<br>별이에게주자...<br>하면서  하나님 (별이를) 잘좀 부탁합니다.........그러고 상자를 건내는것처럼 <br>별이앞에 상자를 주는것처럼 손을 뻗는순간<br>꿈에서 깨어났는데<br><br>아마1분정도는 멍하니있다가<br>울었어요...예전처럼 막 너무 가슴터질거같은 울음이 아니라 반가운데..마지막이구나 ...너무 고마워서  놀라워서 울었던거 같아요<br> 별이한테 고맙다고  하나님 감사합니다....라고 고맙고 너무 감사하고<br>그래서 울었어요 ......그렇게 울고...아무일도없었던것처럼 다시 출근을했어요<br><br>현재는 회사앞에서  길냥이들 밥도 주고있고...<br>완벽하지는 못하지만 공원에서도 길냥이들을 밥을 매일주고있어요 <br>그리고 집에는 3마리의  길에서 태어난 고양이들과 함께 살고있어요 ..<br><br>그때후로 느꼈던게 하나님은 다 알고계시는구나 ....<br>내가 잊었어도  하나님은 다 기억하고 계시고...내가 생각도 못했고<br>예상도 못했던날  나에게  알려주시고 ....그러시는구나 ..<br>참 감사하다...<br><br>별이가 심장병 진단받기전에 병원으로 가는길에  길에서 길고양이를 봤었어요<br>별이가 하도 크게울어서 다른고양이도 놀래서 나와봤던거 같아요 <br>그 고양이는 치즈색에  좀 건강하지 못한 상태였던 그런모습이였는데<br>참 품속에 별이는 병원을 가고 저 아이는 길에서 어떤 보살핌없이<br>짧게 살다가는게   기분이 아이러니 했어요<br>그때 그런 상황이 제 맘속에 계속 남아서 길냥이들 밥을 주게된거같아요<br>중성화 수술도해주고  구조도하게되었고...<br><br>그냥 저는 열심히 간절했던 제 어리숙한 마음도 하나님이 지켜보고 제 기도를 들어주신거에..너무 감사해요  ....<br><br>꿈한번 꾼거 가지고 오바한다고 하겠지만....혹여 고양이 싫어하시는분들도...이상한 이야기라고 하겠지만...저는 그랬어요",1,통통붕어우주선,http://www.youtube.com/@%ED%86%B5%ED%86%B5%EB%B6%95%EC%96%B4%EC%9A%B0%EC%A3%BC%EC%84%A0,2021-01-09T05:15:50Z
나태한 저의 신앙이 부끄럽습니다 선교사님들을 위해 더욱 기도하겠습니다,1,미연-k5u,http://www.youtube.com/@%EB%AF%B8%EC%97%B0-k5u,2024-01-10T02:57:41Z
주님!   감사합니다. 이런기적을 간증하신 이야기를 들을수있게 해 주셔서 감사합니다. 아멘~~,1,이승애-n2z,http://www.youtube.com/@%EC%9D%B4%EC%8A%B9%EC%95%A0-n2z,2021-01-09T06:14:12Z
제가 기회가 되어서 윤치영선교사님과 식사를 하게 되었었는데.. 참 귀한선교사님을 몰라뵈었었어요..가족분들과 함께 항상 건강하시기를 기도합니다❤,1,hkim3633,http://www.youtube.com/@hkim3633,2024-01-18T06:54:14Z
